Age, Male Annual Mortality , Female Annual Mortality , Couple Annual Mortality ,Male Median Life Expectancy, Female Median Life Expectancy ,Couples Life Expectancy, Men Alive ,Women Alive, Couples at Least One Alive ,P(A Alive),P(B Alive),P(A Dead),P(B Alive), P(At least one Alive) ,,,,,,,,,,,,, Milevsky ,,,,,
63,0.01345,0.00842,0.98128,19.05,21.83,0.98246,"83,043","89,658","98,246",0.83,0.9,0.17,0.1,0.9825,,,,,,,80.794,,,,,lambda,0.0367,,,,,
64,0.01461,0.00925,0.9783,18.3,21.01,0.97994,"81,926","88,903","97,994",0.82,0.89,0.18,0.11,0.9799,Couple Alive,Men Die This Year,Prob Death,Cum Prob Death,Prob Death this Yr,Men Alive,Per 10000,Men Died at Age,Cum Died,Prob Death this Yr,,, Milevsky ,SOC 2000,,People Mine,People Milev,Alive per 10K
65,0.01593,0.0102,0.97486,17.57,20.2,0.97703,"80,729","88,081","97,703",0.81,0.88,0.19,0.12,0.977,"10,000",35,0.003459464,0.003459464,0.01593,"80,794","1,000",16,16,0.01589,0,,,,,"80,729","80,729",1000
66,0.01737,0.01126,0.9709,16.84,19.4,0.97365,"79,444","87,182","97,365",0.79,0.87,0.21,0.13,0.9737,"9,965.41",40,0.004012159,0.007471623,0.0333,"79,510",984,17,33,0.03296,1,66,0.964,0.9826,0.9841,"79,444","77,820",
67,0.0189,0.01237,0.96631,16.13,18.62,0.96973,"78,064","86,201","96,973",0.78,0.86,0.22,0.14,0.9697,"9,925.28",46,0.0046365,0.012108124,0.0522,"78,131",967,18,51,0.05120,2,67,0.9292,0.9811,0.967,"78,064","75,016",
68,0.02048,0.01354,0.96101,15.43,17.84,0.9652,"76,589","85,135","96,520",0.77,0.85,0.23,0.15,0.9652,"9,878.92",53,0.005332487,0.017440611,0.07268,"76,657",949,19,71,0.07061,3,68,0.8957,0.9795,0.9487,"76,589","72,313",
69,0.02219,0.01479,0.95489,14.75,17.08,0.95999,"75,020","83,982","95,999",0.75,0.84,0.25,0.16,0.96,"9,825.59",61,0.00612059,0.023561201,0.09487,"75,089",929,21,91,0.09121,4,69,0.8635,0.9778,0.9293,"75,020","69,707",
70,0.02414,0.01623,0.94782,14.07,16.33,0.95401,"73,355","82,740","95,401",0.73,0.83,0.27,0.17,0.954,"9,764.39",70,0.007031514,0.030592715,0.11901,"73,425",909,22,113,0.11311,5,70,0.8324,0.9759,0.9087,"73,355","67,195",
71,0.02636,0.01788,0.93963,13.4,15.59,0.94714,"71,584","81,397","94,714",0.72,0.81,0.28,0.19,0.9471,"9,694.07",81,0.008106199,0.038698914,0.14537,"71,655",887,23,136,0.13646,6,71,0.8024,0.9736,0.8867,"71,584","64,774",
72,0.02881,0.01969,0.93017,12.75,14.87,0.93922,"69,697","79,941","93,922",0.7,0.8,0.3,0.2,0.9392,"9,613.01",93,0.009334411,0.048033325,0.17418,"69,769",864,25,161,0.16130,7,72,0.7734,0.9712,0.8633,"69,697","62,439",
73,0.03148,0.02167,0.9193,12.12,14.16,0.9301,"67,689","78,367","93,010",0.68,0.78,0.32,0.22,0.9301,"9,519.67",107,0.010705915,0.05873924,0.20566,"67,762",839,26,188,0.18766,8,73,0.7456,0.9685,0.8385,"67,689","60,189",
74,0.03444,0.02387,0.90688,11.49,13.46,0.91964,"65,558","76,669","91,964",0.66,0.77,0.34,0.23,0.9196,"9,412.61",123,0.01226165,0.07100089,0.2401,"65,632",812,28,216,0.21560,9,74,0.7187,0.9656,0.8121,"65,558","58,021",
75,0.03786,0.02644,0.89277,10.89,12.77,0.90766,"63,300","74,839","90,766",0.63,0.75,0.37,0.25,0.9077,"9,289.99",141,0.014093733,0.085094624,0.27796,"63,375",784,30,245,0.24524,10,75,0.6928,0.9621,0.7841,"63,300","55,930",
