78,0.05047,"55,682",9.17,0.03587,"68,421",10.83,0.01804,,,,, 0.95406 , 13.61978 , 0.0459 , 0.38022 ,, 0.0049 ,,
79,0.05547,"52,872",8.63,0.03956,"65,967",10.21,0.02044,,,,, 0.94953 , 14.56931 , 0.0505 , 0.43069 ,, 0.0054 ,,
80,0.06118,"49,939",8.1,0.04383,"63,357",9.61,0.02305,,,,, 0.94453 , 15.51384 , 0.0555 , 0.48616 ,, 0.0059 ,,
81,0.0677,"46,884",7.6,0.04881,"60,580",9.03,0.02594,,,,, 0.93883 , 16.45266 , 0.0612 , 0.54734 ,, 0.0065 ,,
82,0.07492,"43,710",7.11,0.05443,"57,624",8.47,0.02915,,,,, 0.93230 , 17.38497 , 0.0677 , 0.61503 ,, 0.0072 ,,
83,0.08289,"40,435",6.65,0.06076,"54,487",7.93,0.03256,,,,, 0.92507 , 18.31004 , 0.0749 , 0.68996 ,, 0.0080 ,,
84,0.09173,"37,084",6.21,0.06789,"51,176",7.41,0.03608,,,,, 0.91713 , 19.22717 , 0.0829 , 0.77283 ,, 0.0089 ,,
85,0.10158,"33,682",5.78,0.07593,"47,702",6.91,0.03965,,,,, 0.90826 , 20.13543 , 0.0917 , 0.86457 ,, 0.0098 ,,
86,0.11257,"30,261",5.38,0.08497,"44,080",6.44,0.04315,,,,, 0.89843 , 21.03386 , 0.1016 , 0.96614 ,, 0.0109 ,,
87,0.1248,"26,854",5,0.09509,"40,335",5.99,0.04645,,,,, 0.88741 , 21.92127 , 0.1126 , 1.07873 ,, 0.0120 ,,
88,0.13831,"23,503",4.64,0.10635,"36,499",5.56,0.04934,,,,, 0.87521 , 22.79649 , 0.1248 , 1.20351 ,, 0.0134 ,,
89,0.15311,"20,253",4.3,0.11878,"32,617",5.17,0.0516,,,,, 0.86172 , 23.65821 , 0.1383 , 1.34179 ,, 0.0148 ,,
90,0.1692,"17,152",3.99,0.13238,"28,743",4.8,0.05299,,,,, 0.84689 , 24.50509 , 0.1531 , 1.49491 ,, 0.0163 ,,
91,0.18654,"14,250",3.7,0.14718,"24,938",4.45,0.05331,,,,, 0.83081 , 25.33590 , 0.1692 , 1.66410 ,, 0.0180 ,,
92,0.20512,"11,592",3.44,0.16316,"21,268",4.13,0.0524,,,,, 0.81347 , 26.14937 , 0.1865 , 1.85063 ,, 0.0198 ,,
93,0.22487,"9,214",3.2,0.18031,"17,798",3.84,0.05023,,,,, 0.79486 , 26.94423 , 0.2051 , 2.05577 ,, 0.0217 ,,
94,0.24574,"7,142",2.98,0.19862,"14,588",3.58,0.04684,,,,, 0.77512 , 27.71936 , 0.2249 , 2.28064 ,, 0.0237 ,,
95,0.26645,"5,387",2.79,0.21713,"11,691",3.34,0.0424,,,,, 0.75427 , 28.47363 , 0.2457 , 2.52637 ,, 0.0257 ,,
96,0.28663,"3,952",2.62,0.23556,"9,153",3.13,0.03705,,,,, 0.73362 , 29.20725 , 0.2664 , 2.79275 ,, 0.0277 ,,
97,0.30587,"2,819",2.47,0.2536,"6,997",2.94,0.03125,,,,, 0.71331 , 29.92056 , 0.2867 , 3.07944 ,, 0.0295 ,,
98,0.32378,"1,957",2.34,0.27092,"5,222",2.76,0.02542,,,,, 0.69422 , 30.61477 , 0.3058 , 3.38523 ,, 0.0313 ,,
99,0.33997,"1,323",2.22,0.28718,"3,807",2.6,0.01997,,,,, 0.67603 , 31.29081 , 0.3240 , 3.70919 ,, 0.0328 ,,
100,0.35697,873,2.1,0.30441,"2,714",2.45,0.01516,,,,, 0.65986 , 31.95067 , 0.3401 , 4.04933 ,, 0.0345 ,,
101,0.37482,562,1.99,0.32267,"1,888",2.31,0.01124,,,,, 0.64376 , 32.59443 , 0.3562 , 4.40557 ,, 0.0362 ,,
102,0.39356,351,1.88,0.34203,"1,279",2.17,0.00814,,,,, 0.62456 , 33.21899 , 0.3754 , 4.78101 ,, 0.0380 ,,
103,0.41324,213,1.78,0.36256,841,2.03,0.00573,,,,, 0.60684 , 33.82582 , 0.3932 , 5.17418 ,, 0.0399 ,,
104,0.4339,125,1.68,0.38431,536,1.91,0.00392,,,,, 0.58685 , 34.41268 , 0.4131 , 5.58732 ,, 0.0419 ,,
105,0.4556,71,1.59,0.40737,330,1.79,0.0026,,,,, 0.56800 , 34.98068 , 0.4320 , 6.01932 ,, 0.0440 ,,
106,0.47838,39,1.5,0.43181,196,1.67,0.00166,,,,, 0.54930 , 35.52997 , 0.4507 , 6.47003 ,, 0.0462 ,,
107,0.50229,20,1.41,0.45772,111,1.56,0.00104,,,,, 0.51282 , 36.04279 , 0.4872 , 6.95721 ,, 0.0485 ,,
108,0.52741,10,1.32,0.48518,60,1.45,0.00061,,,,, 0.50000 , 36.54279 , 0.5000 , 7.45721 ,, 0.0509 ,,
109,0.55378,5,1.24,0.51429,31,1.35,0.00034,,,,, 0.50000 , 37.04279 , 0.5000 , 7.95721 ,, 0.0535 ,,
110,0.58147,2,1.17,0.54515,15,1.26,0.00019,,,,, 0.50000 , 37.54279 , 0.5000 , 8.45721 ,, 0.0561 ,,
111,0.61054,1,1.09,0.57786,7,1.17,0.00009,,,,, 0.50000 , 38.04279 , 0.5000 , 8.95721 ,, 0.0589 ,,
112,0.64107,0,1.02,0.61253,3,1.08,0.00005,,,,, -   , 38.04279 , 1.0000 , 9.95721 ,, 0.0619 ,,
113,0.67312,0,0.95,0.64928,1,1,0.00002,,,,,,,,,,,,
114,0.70678,0,0.89,0.68824,0,0.92,0.00001,,,,,,,,,,,,
